Filename,Z3,RInGen,Collab
tip2015_sort_nat_TSortIsSort.smt2,600000,600000,600000
tip2015_nat_lt_asymmetric.smt2,600000,40,980
false_queue1_QueueR.smt2,600000,600000,600000
tip2015_relaxedprefix_is_prefix_3.smt2,600000,50,1140
tip2015_sort_nat_NMSortTDSorts.smt2,600000,600000,600000
tip2015_sort_BSortSorts.smt2,8420,2580,3920
prod_prop_33.smt2,600000,600000,600000
isaplanner_prop_69.smt2,600000,600000,600000
isaplanner_prop_56.smt2,600000,600000,600000
false_productive_use_of_failure_drop_comm.smt2,600000,600000,600000
isaplanner_prop_64.smt2,600000,50,980
tip2015_weird_nat_add3acc_rrot.smt2,600000,600000,25050
false_queue2_QueueL.smt2,600000,600000,600000
false_regexp_star_plus_easy_1.smt2,1200000,600000,1200000
false_regexp_deluxe_star_plus.smt2,600000,600000,600000
tip2015_sort_nat_StoogeSortIsSort.smt2,600000,600000,600000
tip2015_sort_HSort2Count.smt2,600000,600000,600000
isaplanner_prop_05.smt2,600000,50,970
tip2015_sort_NStoogeSortSorts.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_comm23.smt2,600000,600000,600000
isaplanner_prop_15.smt2,600000,7030,8220
tip2015_sort_nat_TSortSorts.smt2,600000,600000,600000
tip2015_sort_NStoogeSort2Count.smt2,600000,600000,600000
prod_prop_24.smt2,600000,2810,4040
prod_prop_26.smt2,600000,600000,600000
prod_prop_28.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_assoc2.smt2,600000,600000,600000
isaplanner_prop_07.smt2,600000,40,960
tip2015_sort_nat_BubSortCount.smt2,600000,600000,600000
isaplanner_prop_46.smt2,1410,50,950
isaplanner_prop_82.smt2,600000,7030,9440
tip2015_propositional_AndImplication.smt2,1200000,600000,1200000
isaplanner_prop_81.smt2,600000,600000,22790
tip2015_weird_nat_mul3acc_comm12.smt2,600000,600000,600000
tip2015_relaxedprefix_is_prefix_1.smt2,600000,50,1140
prod_prop_39.smt2,600000,12890,13900
tip2015_bin_plus_assoc.smt2,1200000,600000,1200000
tip2015_bin_nat_s.smt2,1200000,600000,1200000
tip2015_weird_nat_add3_rrot.smt2,600000,600000,600000
isaplanner_prop_37.smt2,600000,40,1010
false_mergesort_merge_comm.smt2,600000,90,1020
tip2015_weird_nat_add3acc_spec.smt2,600000,600000,600000
isaplanner_prop_78.smt2,600000,600000,16540
prod_prop_50.smt2,600000,600000,600000
false_queue3_QueueR.smt2,600000,415980,600000
tip2015_list_PairUnpair.smt2,1240,2890,1550
prod_prop_15.smt2,600000,600000,600000
false_regexp_star_plus.smt2,1200000,566290,1200000
false_regexp_find1.smt2,1200000,110,1200000
prod_prop_01.smt2,600000,600000,600000
prod_prop_45.smt2,600000,600000,466060
tip2015_weird_nat_add3acc_rot.smt2,600000,600000,600000
isaplanner_prop_19.smt2,600000,50,990
prod_prop_16.smt2,600000,2880,3900
prod_prop_09.smt2,600000,600000,600000
prod_prop_29.smt2,600000,600000,600000
tip2015_nat_lt_trans.smt2,600000,40,980
tip2015_weird_nat_op_assoc2.smt2,600000,600000,600000
tip2015_weird_nat_mul3_comm12.smt2,600000,600000,600000
prod_prop_03.smt2,600000,600000,600000
tip2015_nat_alt_mul_assoc.smt2,600000,600000,600000
false_productive_use_of_failure_app_inj1.smt2,600000,7030,7930
false_hotel_key_safe3.smt2,1200000,3070,56360
false_regexp_find3.smt2,1200000,2460,1200000
false_regexp_star_seq.smt2,1200000,260,1200000
tip2015_nat_le_trans.smt2,600000,40,1110
isaplanner_prop_85.smt2,600000,600000,9920
false_regexp_star_plus_1.smt2,1200000,600000,1200000
tip2015_weird_nat_op_assoc.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_assoc3.smt2,600000,600000,600000
isaplanner_prop_50.smt2,600000,7030,8190
isaplanner_prop_86.smt2,600000,7050,8380
