Filename,Z3,RInGen,Collab
tip2015_tree_Flatten2.smt2,600000,600000,600000
false_regexp_same.smt2,1200000,600000,1200000
prod_prop_44.smt2,600000,600000,600000
isaplanner_prop_76.smt2,600000,600000,9830
tip2015_weird_nat_mul3acc_comm23.smt2,600000,600000,600000
tip2015_nat_boring_min_comm.smt2,600000,600000,600000
tip2015_nat_le_antisym.smt2,600000,600000,10720
prod_prop_12.smt2,600000,600000,600000
tip2015_regexp_RecPlus.smt2,1200000,600000,1200000
tip2015_sort_BSortCount.smt2,600000,600000,137150
prod_prop_34.smt2,600000,600000,21200
tip2015_nat_boring_min_assoc.smt2,600000,600000,170900
isaplanner_prop_67.smt2,600000,600000,129940
false_graph_tp5.smt2,600000,600000,600000
tip2015_weird_nat_mul3acc_rrot.smt2,600000,600000,600000
prod_prop_36.smt2,600000,600000,600000
isaplanner_prop_32.smt2,600000,600000,600000
tip2015_regexp_RecSeq.smt2,1200000,600000,1200000
tip2015_list_nat_PairUnpair.smt2,600000,600000,600000
tip2015_list_append_inj_2.smt2,600000,600000,600000
tip2015_bin_nat_times.smt2,600000,600000,600000
false_productive_use_of_failure_rot_uhhhw1.smt2,150,40,160
tip2015_bin_nat_plus_comm.smt2,1200000,600000,1200000
tip2015_bin_nat_times_comm.smt2,1200000,600000,1200000
tip2015_weird_nat_add3_same.smt2,600000,600000,600000
prod_prop_32.smt2,600000,600000,600000
isaplanner_prop_09.smt2,600000,600000,600000
tip2015_sort_StoogeSort2Count.smt2,600000,600000,145770
tip2015_fermat_last.smt2,600000,600000,600000
tip2015_sort_StoogeSort2Sorts.smt2,600000,600000,600000
isaplanner_prop_70.smt2,600000,600000,600000
tip2015_sort_StoogeSort2IsSort.smt2,600000,600000,81080
tip2015_sort_HSort2Sorts.smt2,600000,600000,600000
prod_prop_07.smt2,600000,600000,600000
isaplanner_prop_71.smt2,600000,600000,600000
tip2015_nat_boring_gt_irreflexive.smt2,80,600000,80
tip2015_mccarthy91_M1.smt2,600000,600000,600000
tip2015_nat_acc_plus_same.smt2,600000,600000,600000
prod_prop_04.smt2,600000,600000,600000
isaplanner_prop_20.smt2,600000,600000,600000
false_regexp_deluxe_switcheroo.smt2,600000,430,600000
false_regexp_deluxe_FromToConj_difficult.smt2,1200000,3480,1200000
tip2015_relaxedprefix_is_prefix_2.smt2,600000,600000,600000
tip2015_regexp_SeqDistrPlus.smt2,1200000,600000,1200000
false_hotel_key_safe2.smt2,1200000,600000,1200000
tip2015_regexp_SeqAssociative.smt2,600000,600000,600000
tip2015_int_mul_ident_right.smt2,1200000,600000,1200000
tip2015_escape_NoSpecial.smt2,600000,140,1040
tip2015_sort_NMSortTDCount.smt2,600000,600000,8300
tip2015_sort_BubSortCount.smt2,600000,600000,600000
isaplanner_prop_38.smt2,600000,600000,3040
false_graph_bt4.smt2,600000,600000,600000
isaplanner_prop_62.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_comm12.smt2,600000,600000,600000
tip2015_weird_nat_mul3acc_assoc1.smt2,474330,600000,600000
false_graph_d5.smt2,600000,600000,600000
prod_prop_42.smt2,600000,600000,600000
tip2015_nat_boring_ge_reflexive.smt2,80,600000,80
tip2015_weird_nat_add3_assoc1.smt2,600000,600000,600000
false_regexp_deluxe_iter.smt2,1200000,250,1750
false_regexp_star_plus_easy_2.smt2,1200000,600000,1200000
tip2015_rotate_snoc_self.smt2,600000,600000,600000
tip2015_nat_le_reflexive.smt2,70,600000,70
prod_prop_21.smt2,600000,600000,31770
grammars_simp_expr_unambig5.smt2,1200000,600000,1200000
tip2015_sort_nat_TSortIsSort.smt2,600000,600000,600000
tip2015_nat_lt_asymmetric.smt2,600000,600000,600000
false_queue1_QueueR.smt2,600000,600000,600000
tip2015_relaxedprefix_is_prefix_3.smt2,600000,600000,74890
tip2015_sort_nat_NMSortTDSorts.smt2,600000,600000,600000
tip2015_sort_BSortSorts.smt2,8420,100,2120
prod_prop_33.smt2,600000,600000,600000
isaplanner_prop_69.smt2,600000,600000,600000
isaplanner_prop_56.smt2,600000,600000,600000
false_productive_use_of_failure_drop_comm.smt2,600000,600000,600000
isaplanner_prop_64.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_rrot.smt2,600000,600000,19970
false_queue2_QueueL.smt2,600000,600000,600000
false_regexp_star_plus_easy_1.smt2,1200000,600000,1200000
false_regexp_deluxe_star_plus.smt2,600000,600000,600000
tip2015_sort_nat_StoogeSortIsSort.smt2,600000,600000,600000
tip2015_sort_HSort2Count.smt2,600000,600000,600000
isaplanner_prop_05.smt2,600000,600000,8810
tip2015_sort_NStoogeSortSorts.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_comm23.smt2,600000,600000,600000
isaplanner_prop_15.smt2,600000,600000,600000
tip2015_sort_nat_TSortSorts.smt2,600000,600000,600000
tip2015_sort_NStoogeSort2Count.smt2,600000,600000,600000
prod_prop_24.smt2,600000,30,1020
prod_prop_26.smt2,600000,600000,600000
prod_prop_28.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_assoc2.smt2,600000,600000,600000
isaplanner_prop_07.smt2,600000,600000,600000
tip2015_sort_nat_BubSortCount.smt2,600000,600000,600000
isaplanner_prop_46.smt2,1410,50,930
isaplanner_prop_82.smt2,600000,600000,6420
tip2015_propositional_AndImplication.smt2,1200000,600000,1200000
isaplanner_prop_81.smt2,600000,600000,18880
tip2015_weird_nat_mul3acc_comm12.smt2,600000,600000,600000
tip2015_relaxedprefix_is_prefix_1.smt2,600000,600000,600000
prod_prop_39.smt2,600000,600000,600000
tip2015_bin_plus_assoc.smt2,1200000,600000,1200000
tip2015_bin_nat_s.smt2,1200000,600000,1200000
tip2015_weird_nat_add3_rrot.smt2,600000,600000,600000
isaplanner_prop_37.smt2,600000,600000,600000
false_mergesort_merge_comm.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_spec.smt2,600000,600000,600000
isaplanner_prop_78.smt2,600000,600000,13160
prod_prop_50.smt2,600000,600000,600000
false_queue3_QueueR.smt2,600000,600000,600000
tip2015_list_PairUnpair.smt2,1240,140,1480
prod_prop_15.smt2,600000,600000,600000
false_regexp_star_plus.smt2,1200000,600000,1200000
false_regexp_find1.smt2,1200000,600000,1200000
prod_prop_01.smt2,600000,600000,600000
prod_prop_45.smt2,600000,600000,466990
tip2015_weird_nat_add3acc_rot.smt2,600000,600000,600000
isaplanner_prop_19.smt2,600000,600000,5290
prod_prop_16.smt2,600000,20,960
prod_prop_09.smt2,600000,600000,600000
prod_prop_29.smt2,600000,600000,600000
tip2015_nat_lt_trans.smt2,600000,600000,600000
tip2015_weird_nat_op_assoc2.smt2,600000,600000,600000
tip2015_weird_nat_mul3_comm12.smt2,600000,600000,600000
prod_prop_03.smt2,600000,600000,600000
tip2015_nat_alt_mul_assoc.smt2,600000,600000,600000
false_productive_use_of_failure_app_inj1.smt2,600000,600000,600000
false_hotel_key_safe3.smt2,1200000,1310,55690
false_regexp_find3.smt2,1200000,600000,1200000
false_regexp_star_seq.smt2,1200000,600000,1200000
tip2015_nat_le_trans.smt2,600000,600000,600000
isaplanner_prop_85.smt2,600000,600000,7320
false_regexp_star_plus_1.smt2,1200000,600000,1200000
tip2015_weird_nat_op_assoc.smt2,600000,600000,600000
tip2015_weird_nat_add3acc_assoc3.smt2,600000,600000,600000
isaplanner_prop_50.smt2,600000,600000,7830
isaplanner_prop_86.smt2,600000,600000,25680
tip2015_nat_lt_irreflexive.smt2,80,600000,80
prod_prop_48.smt2,600000,600000,600000
false_regexp_find6.smt2,1200000,600000,1200000
prod_prop_18.smt2,600000,600000,4340
false_productive_use_of_failure_len_bs.smt2,300,840,330
tip2015_regexp_PlusIdempotent.smt2,1200000,600000,1200000
tip2015_bin_distrib.smt2,1200000,600000,1200000
false_productive_use_of_failure_drop_idem.smt2,3210,80,1040
prod_prop_49.smt2,600000,600000,25230
tip2015_sort_nat_ISortSorts.smt2,600000,600000,13390
tip2015_regexp_RecNil.smt2,600000,160,1650
isaplanner_prop_59.smt2,600000,600000,600000
tip2015_mccarthy91_M2.smt2,600000,600000,600000
false_productive_use_of_failure_drop_invol.smt2,2900,30,1390
prod_prop_11.smt2,600000,600000,600000
isaplanner_prop_17.smt2,520,20,530
isaplanner_prop_47.smt2,600000,600000,18800
isaplanner_prop_23.smt2,600000,600000,600000
isaplanner_prop_08.smt2,600000,600000,600000
tip2015_sort_nat_ISortCount.smt2,600000,600000,600000
tip2015_sort_NStoogeSort2IsSort.smt2,600000,600000,277410
isaplanner_prop_49.smt2,600000,600000,32670
prod_prop_27.smt2,600000,600000,28150
tip2015_sort_NStoogeSort2Sorts.smt2,600000,600000,600000
tip2015_sort_nat_NStoogeSortCount.smt2,600000,600000,600000
isaplanner_prop_34.smt2,600000,600000,600000
tip2015_nat_boring_gt_asymmetric.smt2,600000,600000,600000
prod_prop_02.smt2,600000,600000,2430
tip2015_nat_boring_max_min_abs.smt2,600000,600000,600000
false_productive_use_of_failure_drop_inj1.smt2,130,20,140
false_queue2_QueueR.smt2,600000,600000,600000
false_graph_p7.smt2,600000,600000,600000
tip2015_list_Interleave.smt2,600000,600000,600000
isaplanner_prop_57.smt2,600000,600000,56530
tip2015_nat_acc_plus_comm.smt2,600000,600000,600000
isaplanner_prop_29.smt2,600000,600000,600000
false_regexp_find4.smt2,1200000,600000,1200000
tip2015_sort_nat_StoogeSortCount.smt2,600000,600000,600000
isaplanner_prop_11.smt2,4010,600000,4260
isaplanner_prop_51.smt2,600000,600000,4880
isaplanner_prop_68.smt2,600000,600000,600000
tip2015_nat_pow_pow.smt2,600000,600000,600000
tip2015_sort_nat_StoogeSortSorts.smt2,600000,600000,600000
tip2015_nat_acc_plus_assoc.smt2,600000,600000,600000
tip2015_bin_s.smt2,1200000,600000,1200000
isaplanner_prop_40.smt2,530,40,550
tip2015_sort_nat_StoogeSort2Sorts.smt2,600000,600000,600000
false_productive_use_of_failure_drop_inj2.smt2,780,30,880
tip2015_weird_nat_add3_spec.smt2,600000,600000,600000
tip2015_sort_nat_BSortSorts.smt2,8090,110,1360
tip2015_bin_nat_plus_assoc.smt2,1200000,600000,1200000
isaplanner_prop_01.smt2,600000,600000,220810
tip2015_sort_ISortCount.smt2,600000,600000,600000
tip2015_weird_nat_mul3_spec.smt2,600000,600000,600000
tip2015_weird_nat_mul3_assoc2.smt2,600000,600000,600000
tip2015_nat_min_max_abs.smt2,600000,600000,600000
tip2015_weird_nat_mul3_comm13.smt2,600000,600000,600000
tip2015_bin_times_assoc.smt2,1200000,600000,1200000
prod_prop_46.smt2,600000,600000,5010
false_productive_use_of_failure_rot_inj0.smt2,130,20,150
tip2015_nat_boring_ge_trans.smt2,600000,600000,600000
tip2015_bin_times_comm.smt2,1200000,600000,1200000
tip2015_sort_HSortSorts.smt2,600000,600000,11750
isaplanner_prop_26.smt2,600000,600000,2590
tip2015_sort_NStoogeSortIsSort.smt2,600000,600000,89440
tip2015_mod_same.smt2,4050,90,1260
isaplanner_prop_83.smt2,600000,600000,33360
false_productive_use_of_failure_rot_comm.smt2,600000,600000,600000
tip2015_sort_nat_BubSortSorts.smt2,600000,600000,600000
isaplanner_prop_79.smt2,600000,600000,6260
tip2015_sort_nat_HSortCount.smt2,600000,600000,600000
tip2015_sort_nat_StoogeSort2IsSort.smt2,600000,600000,600000
tip2015_sort_MSortTDSorts.smt2,2370,250,1650
tip2015_weird_nat_mul3_comm23.smt2,600000,600000,600000
prod_prop_22.smt2,600000,40,1060
tip2015_sort_HSortCount.smt2,600000,600000,600000
tip2015_regexp_RecStar.smt2,600000,600000,600000
isaplanner_prop_10.smt2,300,600000,310
tip2015_regexp_Deeps.smt2,1200000,600000,1200000
prod_prop_19.smt2,600000,600000,6530
false_regexp_kfind6.smt2,600000,600000,600000
tip2015_sort_nat_HSortSorts.smt2,600000,600000,11320
tip2015_nat_boring_max_min_distrib.smt2,600000,600000,600000
isaplanner_prop_65.smt2,600000,600000,600000
tip2015_regexp_RecAtom.smt2,1200000,10370,61510
prod_prop_05.smt2,600000,600000,600000
tip2015_bin_plus.smt2,1200000,600000,1200000
isaplanner_prop_44.smt2,600000,600000,600000
tip2015_sort_NMSortTDIsSort.smt2,600000,600000,600000
isaplanner_prop_04.smt2,600000,600000,6490
tip2015_weird_nat_add3_assoc3.smt2,600000,600000,600000
false_regexp_deluxe_bad_assoc.smt2,600000,2540,600000
tip2015_nat_pow_le_factorial.smt2,600000,600000,600000
tip2015_nat_min_max_distrib.smt2,600000,600000,600000
isaplanner_prop_77.smt2,600000,600000,600000
tip2015_sort_nat_MSortBU2Count.smt2,600000,600000,600000
isaplanner_prop_61.smt2,600000,600000,600000
false_regexp_find2.smt2,1200000,600000,1200000
false_regexp_kfind5.smt2,600000,600000,600000
tip2015_sort_nat_HSort2IsSort.smt2,600000,600000,95440
tip2015_rotate_mod.smt2,600000,600000,600000
false_productive_use_of_failure_rot_uhhh.smt2,600000,600000,9530
false_show_bin_lists_assoc.smt2,13950,12090,21260
